"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-12-01","AZ","A+",6687,6191,48,496,26072,26072,2594,286,,597,1945076,8127,,,,,369,337139,326838,10322,0,,,,,,53026,,0,2271914,18225,365224,,,,2271914,18225,,0
"2020-11-30","AZ","A+",6639,6152,5,487,25786,25786,2513,218,,579,1936949,16630,,,,,352,326817,316740,822,0,,,,,,52438,,0,2253689,17364,364625,,,,2253689,17364,,0
"2020-11-29","AZ","A+",6634,6148,10,486,25568,25568,2458,220,,573,1920319,15300,,,,,356,325995,316006,3221,0,,,,,,51911,,0,2236325,18441,363824,,,,2236325,18441,,0
"2020-11-28","AZ","A+",6624,6140,36,484,25348,25348,2383,52,,553,1905019,10368,,,,,343,322774,312865,4136,0,,,,,,51333,,0,2217884,14367,363071,,,,2217884,14367,,0
"2020-11-27","AZ","A+",6588,6106,20,482,25296,25296,2301,133,,532,1894651,20789,,,,,325,318638,308866,4312,0,,,,,,50892,,0,2203517,24832,362284,,,,2203517,24832,,0
"2020-11-26","AZ","A+",6568,6086,44,482,25163,25163,2289,211,,523,1873862,18460,,,,,335,314326,304823,3476,0,,,,,,50352,,0,2178685,21546,361284,,,,2178685,21546,,0
"2020-11-25","AZ","A+",6524,6044,9,480,24952,24952,2217,286,,531,1855402,13369,,,,,335,310850,301737,3982,0,,,,,,49810,,0,2157139,17098,359967,,,,2157139,17098,,0
"2020-11-24","AZ","A+",6515,6036,51,479,24666,24666,2084,205,,474,1842033,10734,,,,,310,306868,298008,4544,0,,,,,,49234,,0,2140041,15168,357863,,,,2140041,15168,,0
"2020-11-23","AZ","A+",6464,5992,0,472,24461,24461,2008,49,,469,1831299,17990,,,,,294,302324,293574,2659,0,,,,,,48807,,0,2124873,20521,357473,,,,2124873,20521,,0
"2020-11-22","AZ","A+",6464,5992,7,472,24412,24412,1932,231,,438,1813309,16546,,,,,256,299665,291043,4331,0,,,,,,48380,,0,2104352,20709,356561,,,,2104352,20709,,0
"2020-11-21","AZ","A+",6457,5985,30,472,24181,24181,1916,129,,435,1796763,16271,,,,,253,295334,286880,3638,0,,,,,,47890,,0,2083643,19754,355879,,,,2083643,19754,,0
"2020-11-20","AZ","A+",6427,5961,43,466,24052,24052,1835,181,,431,1780492,22422,,,,,244,291696,283397,4471,0,,,,,,47383,,0,2063889,26601,355101,,,,2063889,26601,,0
"2020-11-19","AZ","A+",6384,5919,19,465,23871,23871,1796,398,,433,1758070,14417,,,,,227,287225,279218,4123,0,,,,,,46951,,0,2037288,18293,354092,,,,2037288,18293,,0
"2020-11-18","AZ","A+",6365,5902,53,463,23473,23473,1700,230,,396,1743653,11757,,,,,218,283102,275342,3206,0,,,,,,46521,,0,2018995,14787,353191,,,,2018995,14787,,0
"2020-11-17","AZ","A+",6312,5855,10,457,23243,23243,1624,121,,385,1731896,13572,,,,,191,279896,272312,2984,0,,,,,,46103,,0,2004208,16427,350899,,,,2004208,16427,,0
"2020-11-16","AZ","A+",6302,5846,0,456,23122,23122,1557,73,,374,1718324,11929,,,,,194,276912,269457,1476,0,,,,,,45737,,0,1987781,13283,350396,,,,1987781,13283,,0
"2020-11-15","AZ","A+",6302,5846,2,456,23049,23049,1506,112,,368,1706395,10789,,,,,183,275436,268103,2383,0,,,,,,45400,,0,1974498,13084,336491,,,,1974498,13084,,0
"2020-11-14","AZ","A+",6300,5845,43,455,22937,22937,1470,117,,362,1695606,15344,,,,,189,273053,265808,3476,0,,,,,,45036,,0,1961414,18698,330139,,,,1961414,18698,,0
"2020-11-13","AZ","A+",6257,5806,17,451,22820,22820,1381,244,,335,1680262,16284,,,,,176,269577,262454,3015,0,,,,,,44675,,0,1942716,19210,328786,,,,1942716,19210,,0
"2020-11-12","AZ","A+",6240,5793,12,447,22576,22576,1368,82,,331,1663978,13906,,,,,180,266562,259528,1399,0,,,,,,44363,,0,1923506,15197,327834,,,,1923506,15197,,0
"2020-11-11","AZ","A+",6228,5786,36,442,22494,22494,1360,66,,309,1650072,7775,,,,,156,265163,258237,2030,0,,,,,,43990,,0,1908309,9695,326811,,,,1908309,9695,,0
"2020-11-10","AZ","A+",6192,5757,28,435,22428,22428,1289,217,,294,1642297,12091,,,,,148,263133,256317,3434,0,,,,,,43682,,0,1898614,15407,326290,,,,1898614,15407,,0
"2020-11-09","AZ","A+",6164,5745,0,419,22211,22211,1232,9,,292,1630206,10142,,,,,142,259699,253001,435,0,,,,,,43460,,0,1883207,10547,325589,,,,1883207,10547,,0
"2020-11-08","AZ","A+",6164,5745,17,419,22202,22202,1185,32,,272,1620064,12023,,,,,148,259264,252596,1880,0,,,,,,43232,,0,1872660,13825,325006,,,,1872660,13825,,0
"2020-11-07","AZ","A+",6147,5730,38,417,22170,22170,1139,152,,249,1608041,14060,,,,,137,257384,250794,2620,0,,,,,,42950,,0,1858835,16524,324293,,,,1858835,16524,,0
"2020-11-06","AZ","A+",6109,5714,22,395,22018,22018,1082,187,,250,1593981,13820,,,,,138,254764,248330,1996,0,,,,,,42652,,0,1842311,15682,323662,,,,1842311,15682,,0
"2020-11-05","AZ","A+",6087,5707,28,380,21831,21831,1100,45,,254,1580161,12297,,,,,128,252768,246468,2135,0,,,,,,42317,,0,1826629,14303,322766,,,,1826629,14303,,0
"2020-11-04","AZ","A+",6059,5701,39,358,21786,21786,1065,160,,241,1567864,8411,,,,,127,250633,244462,815,0,,,,,,42039,,0,1812326,9091,321891,,,,1812326,9091,,0
"2020-11-03","AZ","A+",6020,5679,38,341,21626,21626,956,53,,227,1559453,9071,,,,,112,249818,243782,1679,0,,,,,,41776,,0,1803235,10633,321393,,,,1803235,10633,,0
"2020-11-02","AZ","A+",5982,5664,1,318,21573,21573,918,15,,231,1550382,6211,,,,,120,248139,242220,666,0,,,,,,41589,,0,1792602,6835,320952,,,,1792602,6835,,0
"2020-11-01","AZ","A+",5981,5663,2,318,21558,21558,875,66,,222,1544171,12748,,,,,112,247473,241596,1527,0,,,,,,41398,,0,1785767,14214,320223,,,,1785767,14214,,0
"2020-10-31","AZ","A+",5979,5664,45,315,21492,21492,889,68,,197,1531423,10684,,,,,104,245946,240130,1901,0,,,,,,41159,,0,1771553,12458,319537,,,,1771553,12458,,0
"2020-10-30","AZ","A+",5934,5641,16,293,21424,21424,900,164,,188,1520739,11912,,,,,99,244045,238356,1565,0,,,,,,40906,,0,1759095,13433,318796,,,,1759095,13433,,0
"2020-10-29","AZ","A+",5918,5626,13,292,21260,21260,874,13,,186,1508827,13013,,,,,95,242480,236835,1315,0,,,,,,40697,,0,1745662,14215,318101,,,,1745662,14215,,0
"2020-10-28","AZ","A+",5905,5614,14,291,21247,21247,871,75,,188,1495814,5774,,,,,94,241165,235633,1043,0,,,,,,40426,,0,1731447,6800,316805,,,,1731447,6800,,0
"2020-10-27","AZ","A+",5891,5601,16,290,21172,21172,861,75,,187,1490040,8719,,,,,100,240122,234607,1158,0,,,,,,40169,,0,1724647,9846,316145,,,,1724647,9846,,0
"2020-10-26","AZ","A+",5875,5587,1,288,21097,21097,837,11,,179,1481321,7615,,,,,97,238964,233480,801,0,,,,,,39920,,0,1714801,8394,314045,,,,1714801,8394,,0
"2020-10-25","AZ","A+",5874,5586,5,288,21086,21086,828,43,,181,1473706,11512,,,,,91,238163,232701,1391,0,,,,,,39742,,0,1706407,12858,313239,,,,1706407,12858,,0
"2020-10-24","AZ","A+",5869,5581,4,288,21043,21043,819,76,,191,1462194,11213,,,,,87,236772,231355,890,0,,,,,,39525,,0,1693549,12080,312232,,,,1693549,12080,,0
"2020-10-23","AZ","A+",5865,5578,6,287,20967,20967,815,29,,172,1450981,11984,,,,,85,235882,230488,976,0,,,,,,39306,,0,1681469,12907,311920,,,,1681469,12907,,0
"2020-10-22","AZ","A+",5859,5573,5,286,20938,20938,848,118,,164,1438997,10205,,,,,92,234906,229565,994,0,,,,,,39089,,0,1668562,11173,311019,,,,1668562,11173,,0
"2020-10-21","AZ","A+",5854,5567,17,287,20820,20820,832,101,,171,1428792,9117,,,,,91,233912,228597,975,0,,,,,,38883,,0,1657389,10044,310123,,,,1657389,10044,,0
"2020-10-20","AZ","A+",5837,5550,7,287,20719,20719,777,71,,170,1419675,6571,,,,,91,232937,227670,1040,0,,,,,,38705,,0,1647345,7560,309446,,,,1647345,7560,,0
"2020-10-19","AZ","A+",5830,5544,3,286,20648,20648,721,8,,177,1413104,8043,,,,,94,231897,226681,748,0,,,,,,38553,,0,1639785,8762,309007,,,,1639785,8762,,0
"2020-10-18","AZ","A+",5827,5541,3,286,20640,20640,714,22,,176,1405061,9622,,,,,85,231149,225962,742,0,,,,,,38384,,0,1631023,10320,308189,,,,1631023,10320,,0
"2020-10-17","AZ","A+",5824,5539,18,285,20618,20618,757,127,,174,1395439,10458,,,,,81,230407,225264,921,0,,,,,,38193,,0,1620703,11323,307425,,,,1620703,11323,,0
