"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-12-01","GA","A+",9515,8798,63,717,35063,35063,2634,239,6536,,3914038,21723,,,,,,424929,424929,2796,0,36148,,,51476,398641,,,0,4338967,24519,364644,,,,,0,4338967,24519
"2020-11-30","GA","A+",9452,8778,10,674,34824,34824,2574,42,6497,,3892315,9989,,,,,,422133,422133,1532,0,35894,,,49430,395848,,,0,4314448,11521,363107,,,,,0,4314448,11521
"2020-11-29","GA","A+",9442,8778,18,664,34782,34782,2493,58,6493,,3882326,12238,,,,,,420601,420601,1665,0,35871,,,48915,394478,,,0,4302927,13903,362982,,,,,0,4302927,13903
"2020-11-28","GA","A+",9424,8775,44,649,34724,34724,2370,119,6485,,3870088,27978,,,,,,418936,418936,2633,0,35775,,,48628,392875,,,0,4289024,30611,362341,,,,,0,4289024,30611
"2020-11-27","GA","A+",9380,8746,44,634,34605,34605,2295,18,6464,,3842110,29328,,,,,,416303,416303,2394,0,35569,,,48223,390028,,,0,4258413,31722,361442,,,,,0,4258413,31722
"2020-11-26","GA","A+",9336,8716,39,620,34587,34587,2247,174,6463,,3812782,27855,,,,,,413909,413909,2907,0,35236,,,47608,387383,,,0,4226691,30762,359818,,,,,0,4226691,30762
"2020-11-25","GA","A+",9297,8694,76,603,34413,34413,2286,145,6434,,3784927,19628,,,,,,411002,411002,2358,0,35037,,,46907,384916,,,0,4195929,21986,358749,,,,,0,4195929,21986
"2020-11-24","GA","A+",9221,8648,6,573,34268,34268,2298,185,6414,,3765299,32010,,,,,,408644,408644,2424,0,34856,,,46088,383062,,,0,4173943,34434,357704,,,,,0,4173943,34434
"2020-11-23","GA","A+",9215,8644,17,571,34083,34083,2257,26,6377,,3733289,24920,,,,,,406220,406220,1809,0,34740,,,44836,380636,,,0,4139509,26729,357156,,,,,0,4139509,26729
"2020-11-22","GA","A+",9198,8627,19,571,34057,34057,2193,34,6373,,3708369,24662,,,,,,404411,404411,1976,0,34527,,,44721,378620,,,0,4112780,26638,356199,,,,,0,4112780,26638
