"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-12-01","PA","A+",10563,,180,,,,4744,0,,967,2836445,8396,,,,,524,367140,340648,5676,0,,,,,,220284,,0,3203585,14072,,,,,3177093,13133,5651291,51298
"2020-11-30","PA","A+",10383,,32,,,,4631,0,,970,2828049,9172,,,,,499,361464,335911,4268,0,,,,,,216878,,0,3189513,13440,,,,,3163960,13164,5599993,84521
"2020-11-29","PA","A+",10351,,76,,,,4405,0,,918,2818877,14413,,,,,474,357196,331919,5529,0,,,,,,214516,,0,3176073,19942,,,,,3150796,19591,5515472,0
"2020-11-28","PA","A+",10275,,41,,,,4253,0,,914,2804464,18389,,,,,465,351667,326741,8053,0,,,,,,214516,,0,3156131,26442,,,,,3131205,25891,5515472,56532
"2020-11-27","PA","A+",10234,,21,,,,4114,0,,864,2786075,20846,,,,,445,343614,319239,7360,0,,,,,,209604,,0,3129689,28206,,,,,3105314,27686,5458940,127367
"2020-11-26","PA","A+",10213,,118,,,,4087,0,,877,2765229,22008,,,,,467,336254,312399,8425,0,,,,,,203253,,0,3101483,30433,,,,,3077628,29346,5331573,0
"2020-11-25","PA","A+",10095,,144,,,,3990,0,,858,2743221,19853,,,,,441,327829,305061,6759,0,,,,,,203253,,0,3071050,26612,,,,,3048282,25846,5331573,60989
"2020-11-24","PA","A+",9951,,81,,,,3897,0,,826,2723368,18198,,,,,405,321070,299068,6669,0,,,,,,202274,,0,3044438,24867,,,,,3022436,23899,5270584,54458
"2020-11-23","PA","A+",9870,,28,,,,3459,0,,767,2705170,14185,,,,,380,314401,293367,4762,0,,,,,,198072,,0,3019571,18947,,,,,2998537,18614,5216126,173390
"2020-11-22","PA","A+",9842,,41,,,,3379,0,,775,2690985,22309,,,,,371,309639,288938,7075,0,,,,,,193640,,0,3000624,29384,,,,,2979923,28769,5042736,0
"2020-11-21","PA","A+",9801,,112,,,,3294,0,,748,2668676,19806,,,,,367,302564,282478,6778,0,,,,,,193640,,0,2971240,26584,,,,,2951154,25829,5042736,0
"2020-11-20","PA","A+",9689,,108,,,,3162,0,,661,2648870,19343,,,,,351,295786,276455,6808,0,,,,,,192260,,0,2944656,26151,,,,,2925325,25475,5042736,60628
"2020-11-19","PA","A+",9581,,116,,,,2952,0,,659,2629527,20541,,,,,318,288978,270323,7126,0,,,,,,190725,,0,2918505,27667,,,,,2899850,26886,4982108,61339
"2020-11-18","PA","A+",9465,,110,,,,2904,0,,628,2608986,20519,,,,,310,281852,263978,6339,0,,,,,,186022,,0,2890838,26858,,,,,2872964,26193,4920769,61580
"2020-11-17","PA","A+",9355,,30,,,,2737,0,,579,2588467,14846,,,,,280,275513,258304,5900,0,,,,,,184593,,0,2863980,20746,,,,,2846771,20017,4859189,46596
"2020-11-16","PA","A+",9325,,13,,,,2575,0,,558,2573621,14125,,,,,269,269613,253133,4476,0,,,,,,183336,,0,2843234,18601,,,,,2826754,18277,4812593,165485
"2020-11-15","PA","A+",9312,,38,,,,2440,0,,531,2559496,21349,,,,,265,265137,248981,5199,0,,,,,,178070,,0,2824633,26548,,,,,2808477,26170,4647108,0
"2020-11-14","PA","A+",9274,,50,,,,2374,0,,518,2538147,14163,,,,,248,259938,244160,5551,0,,,,,,178070,,0,2798085,19714,,,,,2782307,19167,4647108,0
